target_name,target_id,disease_name,disease_id,relation,resolved,flagged,flags,flag_mechanisms,findings
CD40LG,Gene::959,ovarian endometrioid adenocarcinoma with squamous differentiation,Disease::MESH:D000860,GNBR::X::Gene:Disease,True,True,3,not_expressed_in_tissue;absent_from_driver_cell;mouse_ko_normal,"⚑ Expressed in the affected tissue: CD40LG is not expressed in the tissue affected by ovarian endometrioid adenocarcinoma with squamous differentiation (Ovary 0.13 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Spleen (6), Whole_Blood (4), Small_Intestine_Terminal_Ileum (4). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/CD40LG | https://www.proteinatlas.org/ENSG00000102245/single+cell)
⚑ Present in the disease's driver cell: CD40LG is not expressed in the cell type that drives ovarian endometrioid adenocarcinoma with squamous differentiation — its single-cell expression is confined to unrelated cell types (highest in T-cells (61), Platelets (35), Innate lymphoid cells (20)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000102245/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of CD40LG produces no phenotype relevant to ovarian endometrioid adenocarcinoma with squamous differentiation — its 43 knockout phenotype(s) are in unrelated systems (e.g. decreased IgA level, abnormal blood coagulation, abnormal leukocyte adhesion, abnormal lymph node morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000102245?tab=mouse_phenotypes)"
ASPH,Gene::444,Ewing sarcoma/peripheral primitive neuroectodermal tumor,Disease::MESH:D017599,GNBR::X::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: ASPH is not expressed in the cell type that drives Ewing sarcoma/peripheral primitive neuroectodermal tumor — its single-cell expression is confined to unrelated cell types (highest in Neutrophils (2306), Adipocytes (1583), Ocular epithelial cells (1020)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000198363/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of ASPH produces no phenotype relevant to Ewing sarcoma/peripheral primitive neuroectodermal tumor — its 12 knockout phenotype(s) are in unrelated systems (e.g. ventricular tachycardia, syndactyly, cleft palate, short snout) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000198363?tab=mouse_phenotypes)"
CRH,Gene::81648,"generalized epilepsy with febrile seizures plus, type 2",Disease::MESH:D012640,GNBR::J::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: CRH is not expressed in the cell type that drives generalized epilepsy with febrile seizures plus, type 2 — its single-cell expression is confined to unrelated cell types (highest in Syncytiotrophoblasts (250), Trophoblast cells (250), Pancreatic islet cells (148)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000147571/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of CRH produces no phenotype relevant to generalized epilepsy with febrile seizures plus, type 2 — its 36 knockout phenotype(s) are in unrelated systems (e.g. decreased T cell proliferation, abnormal circulating adrenaline level, adrenal gland atrophy, abnormal epidermis stratum corneum morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000147571?tab=mouse_phenotypes)"
GOLM1,Gene::51280,liver and intrahepatic bile duct neoplasm,Disease::MESH:D008113,GNBR::L::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: GOLM1 is not expressed in the cell type that drives liver and intrahepatic bile duct neoplasm — its single-cell expression is confined to unrelated cell types (highest in Foveolar cells (750), Gastric glandular cells (750), Respiratory ionocytes (607)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000135052/single+cell)"
CRB1,Gene::23418,cone-rod dystrophy,Disease::MESH:D058499,GNBR::U::Gene:Disease,True,False,0,,
ELK1,Gene::13712,atherosclerosis,Disease::MESH:D050197,GNBR::J::Gene:Disease,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The ELK1–atherosclerosis association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000126767/MONDO_0005311)
⚑ Present in the disease's driver cell: ELK1 is not expressed in the cell type that drives atherosclerosis — its single-cell expression is confined to unrelated cell types (highest in Granulosa cells (145), Reproductive supporting cells (145)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000126767/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of ELK1 produces no phenotype relevant to atherosclerosis — its 3 knockout phenotype(s) are in unrelated systems (e.g. male infertility, increased circulating insulin level, asthenozoospermia) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000126767?tab=mouse_phenotypes)"
MBL2,Gene::17195,,Disease::MESH:D003928,GNBR::J::Gene:Disease,False,False,0,,
NTRK1,Gene::4914,bipolar disorder,Disease::MESH:D001714,Hetionet::DaG::Disease:Gene,True,True,3,text_mining_only;absent_from_driver_cell;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The NTRK1–bipolar disorder association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000198400/MONDO_0004985)
⚑ Present in the disease's driver cell: NTRK1 is not expressed in the cell type that drives bipolar disorder — its single-cell expression is confined to unrelated cell types (highest in Retinal horizontal cells (52), Neuronal cells (52), Retinal bipolar cells (50)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000198400/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of NTRK1 produces no phenotype relevant to bipolar disorder — its 48 knockout phenotype(s) are in unrelated systems (e.g. decreased body size, no abnormal phenotype detected, anhidrosis, abnormal chemical nociception) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000198400?tab=mouse_phenotypes)"
ESR1,Gene::2099,,Disease::MESH:C535932,GNBR::L::Gene:Disease,False,False,0,,
MAPK8,Gene::5599,rheumatoid arthritis,Disease::MESH:D001172,Hetionet::DaG::Disease:Gene,True,True,2,text_mining_only;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The MAPK8–rheumatoid arthritis association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000107643/MONDO_0008383)
⚑ Mouse-knockout phenotype: The mouse knockout of MAPK8 produces no phenotype relevant to rheumatoid arthritis — its 19 knockout phenotype(s) are in unrelated systems (e.g. abnormal retina outer nuclear layer morphology, improved glucose tolerance, increased insulin sensitivity, absent keratohyalin granules) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000107643?tab=mouse_phenotypes)"
RGCC,Gene::28984,pulmonary fibrosis,Disease::MESH:D054990,Hetionet::DdG::Disease:Gene,True,True,2,text_mining_only;mouse_ko_normal,"⚑ Real evidence vs. text-mining: The RGCC–pulmonary fibrosis association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000102760/MONDO_0002771)
⚑ Mouse-knockout phenotype: The mouse knockout of RGCC produces no phenotype relevant to pulmonary fibrosis — its 14 knockout phenotype(s) are in unrelated systems (e.g. abnormal epididymis morphology, decreased fetal weight, enlarged epididymis, fetal growth retardation) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000102760?tab=mouse_phenotypes)"
PAX6,Gene::18508,Sotos syndrome,Disease::MESH:D058495,GNBR::J::Gene:Disease,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: PAX6 is not expressed in the cell type that drives Sotos syndrome — its single-cell expression is confined to unrelated cell types (highest in Pancreatic islet cells (619), Retinal amacrine cells (493), Neuronal cells (493)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000007372/single+cell)"
,Gene::100129075;3895;5729,hepatocellular carcinoma,Disease::MESH:D006528,GNBR::L::Gene:Disease,False,False,0,,
AHR,Gene::196,lung neoplasm,Disease::MESH:D008175,Hetionet::DaG::Disease:Gene,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: AHR is not expressed in the cell type that drives lung neoplasm — its single-cell expression is confined to unrelated cell types (highest in Papillary tip epithelial cells (225), Renal nephron cells (225), Epicardial cells (171)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000106546/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of AHR produces no phenotype relevant to lung neoplasm — its 129 knockout phenotype(s) are in unrelated systems (e.g. decreased physiological sensitivity to xenobiotic, abnormal eye vasculature morphology, decreased superovulation rate, abnormal skin condition) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000106546?tab=mouse_phenotypes)"
IGF1,Gene::24482,breast neoplasm,Disease::MESH:D018205,GNBR::J::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: IGF1 is not expressed in the cell type that drives breast neoplasm — its single-cell expression is confined to unrelated cell types (highest in Endometrial stromal cells (1193), Stromal cells (1193), Leydig cells (1190)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000017427/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of IGF1 produces no phenotype relevant to breast neoplasm — its 72 knockout phenotype(s) are in unrelated systems (e.g. abnormal myelination, abnormal postnatal growth/weight/body size, disproportionate dwarf, abnormal cochlear ganglion morphology) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000017427?tab=mouse_phenotypes)"
RETN,Gene::56729,mixed lobular and ductal breast carcinoma,Disease::MESH:D021441,GNBR::L::Gene:Disease,True,True,3,not_expressed_in_tissue;absent_from_driver_cell;mouse_ko_normal,"⚑ Expressed in the affected tissue: RETN is not expressed in the tissue affected by mixed lobular and ductal breast carcinoma (Breast_Mammary_Tissue 0.82 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Whole_Blood (124), Lung (32), Spleen (32). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/RETN | https://www.proteinatlas.org/ENSG00000104918/single+cell)
⚑ Present in the disease's driver cell: RETN is not expressed in the cell type that drives mixed lobular and ductal breast carcinoma — its single-cell expression is confined to unrelated cell types (highest in Neutrophil progenitors (3157), Neutrophils (3157)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000104918/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of RETN produces no phenotype relevant to mixed lobular and ductal breast carcinoma — its 3 knockout phenotype(s) are in unrelated systems (e.g. decreased liver triglyceride level, improved glucose tolerance, decreased circulating glucose level) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000104918?tab=mouse_phenotypes)"
NOB1,Gene::67619,ovarian endometrioid stromal and related neoplasms,Disease::MESH:D009369,GNBR::Md::Gene:Disease,True,False,0,,
CLEC12A,Gene::160364,leukemia,Disease::MESH:D007938,GNBR::L::Gene:Disease,True,False,0,,
CSPG4,Gene::121021,melanoma,Disease::MESH:D008545,GNBR::L::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of CSPG4 produces no phenotype relevant to melanoma — its 23 knockout phenotype(s) are in unrelated systems (e.g. abnormal macrophage physiology, decreased oxygen consumption, increased epididymal fat pad weight, increased body weight) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000173546?tab=mouse_phenotypes)"
SRSF3,Gene::6428,alcohol dependence,Disease::MESH:D000437,Hetionet::DdG::Disease:Gene,True,False,0,,
FGFR1,Gene::2260,inborn disorder of amino acid metabolism,Disease::MESH:D000592,GNBR::L::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: FGFR1 is not expressed in the cell type that drives inborn disorder of amino acid metabolism — its single-cell expression is confined to unrelated cell types (highest in Pancreatic acinar cells (542), Acinar cells (542), Fibroblasts (375)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000077782/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of FGFR1 produces no phenotype relevant to inborn disorder of amino acid metabolism — its 202 knockout phenotype(s) are in unrelated systems (e.g. abnormal middle ear morphology, abnormal vertebrae morphology, decreased embryo size, short tibia) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000077782?tab=mouse_phenotypes)"
NUCB2,Gene::59295,fungal lung infectious disease,Disease::MESH:D005767,GNBR::J::Gene:Disease,True,True,2,absent_from_driver_cell;mouse_ko_normal,"⚑ Present in the disease's driver cell: NUCB2 is not expressed in the cell type that drives fungal lung infectious disease — its single-cell expression is confined to unrelated cell types (highest in Esophageal apical cells (3054), Apical squamous epithelial cells (3054), Syncytiotrophoblasts (1906)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000070081/single+cell)
⚑ Mouse-knockout phenotype: The mouse knockout of NUCB2 produces no phenotype relevant to fungal lung infectious disease — its 7 knockout phenotype(s) are in unrelated systems (e.g. decreased heart rate, abnormal glucose homeostasis, increased hepatic glucose production, increased interleukin-1 beta secretion) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000070081?tab=mouse_phenotypes)"
KHDRBS1,Gene::10657,Zellweger spectrum disorders,Disease::MESH:D008881,GNBR::L::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of KHDRBS1 produces no phenotype relevant to Zellweger spectrum disorders — its 15 knockout phenotype(s) are in unrelated systems (e.g. abnormal maternal nurturing, increased bone mineral density of femur, male infertility, decreased circulating leptin level) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000121774?tab=mouse_phenotypes)"
TP53,Gene::22059,inborn mitochondrial metabolism disorder,Disease::MESH:D030342,GNBR::J::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of TP53 produces no phenotype relevant to inborn mitochondrial metabolism disorder — its 250 knockout phenotype(s) are in unrelated systems (e.g. small spleen, abnormal apoptosis, abnormal megakaryocyte progenitor cell morphology, aneuploidy) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000141510?tab=mouse_phenotypes)"
MTHFR,Gene::4524,Zellweger spectrum disorders,Disease::MESH:D008881,Hetionet::DaG::Disease:Gene,True,True,1,absent_from_driver_cell,"⚑ Present in the disease's driver cell: MTHFR is not expressed in the cell type that drives Zellweger spectrum disorders — its single-cell expression is confined to unrelated cell types (highest in Epididymal principal cells (152)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000177000/single+cell)"
FEZ1,Gene::9638,schizophrenia,Disease::MESH:D012559,Hetionet::DaG::Disease:Gene,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The FEZ1–schizophrenia association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000149557/MONDO_0005090)"
MAGEA3,Gene::4102,plasma cell myeloma,Disease::MESH:D009101,GNBR::L::Gene:Disease,True,True,2,not_expressed_in_tissue;absent_from_driver_cell,"⚑ Expressed in the affected tissue: MAGEA3 is not expressed in the tissue affected by plasma cell myeloma (Whole_Blood 0.00 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Testis (13), Adipose_Subcutaneous (0), Adipose_Visceral_Omentum (0). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/MAGEA3 | https://www.proteinatlas.org/ENSG00000221867/single+cell)
⚑ Present in the disease's driver cell: MAGEA3 is not expressed in the cell type that drives plasma cell myeloma — its single-cell expression is confined to unrelated cell types (highest in Early primary spermatocytes (55), Spermatogenic cell types (55), Differentiating spermatogonia (43)) — so even where the disease acts, the driving cells lack the target for the drug to engage.  (sources: https://www.proteinatlas.org/ENSG00000221867/single+cell)"
LHX3,Gene::8022,hypopituitarism,Disease::MESH:D007018,GNBR::U::Gene:Disease,True,False,0,,
GRIN1,Gene::2902,polymicrogyria,Disease::MESH:D065706,GNBR::U::Gene:Disease,True,True,1,mouse_ko_normal,"⚑ Mouse-knockout phenotype: The mouse knockout of GRIN1 produces no phenotype relevant to polymicrogyria — its 78 knockout phenotype(s) are in unrelated systems (e.g. decreased body weight, social withdrawal, cyanosis, abnormal motor capabilities/coordination/movement) — so removing the target does not produce the expected disease effect, suggesting it is not required for the disease.  (sources: https://platform.opentargets.org/target/ENSG00000176884?tab=mouse_phenotypes)"
NGFR,Gene::4804,,Disease::MESH:D064420,GNBR::J::Gene:Disease,False,False,0,,
CRNDE,Gene::643911,colorectal neoplasm,Disease::MESH:D015179,GNBR::J::Gene:Disease,True,True,2,text_mining_only;not_expressed_in_tissue,"⚑ Real evidence vs. text-mining: The CRNDE–colorectal neoplasm association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000245694/MONDO_0005335)
⚑ Expressed in the affected tissue: CRNDE is not expressed in the tissue affected by colorectal neoplasm (Colon_Sigmoid 0.12 TPM, Colon_Transverse 0.10 TPM; below 1 TPM), nor in its driver cell type — its RNA is highest in Testis (52), Minor_Salivary_Gland (9), Breast_Mammary_Tissue (8). A real absence, but weigh it against the drug's actual site of action (a drug can act on a different organ, e.g. a diuretic on the kidney).  (sources: https://gtexportal.org/home/gene/CRNDE)"
CYP11A1,Gene::1583,hypertensive disorder,Disease::MESH:D006973,Hetionet::DaG::Disease:Gene,True,True,1,text_mining_only,"⚑ Real evidence vs. text-mining: The CYP11A1–hypertensive disorder association rests only on literature co-mention (its sole evidence type is text-mining; no genetic, clinical, pathway, expression, or animal-model evidence) — a knowledge-graph edge can exist purely because papers mention both.  (sources: https://platform.opentargets.org/evidence/ENSG00000140459/MONDO_0005044)"
